"sk_evento","fk_tempo","fk_prospect","fk_vendedor","fk_cardapio","fk_tema","data_interesse","tipo_evento","duracao_horas","status","qtd_adultos","qtd_criancas","faturamento","custo","dias_para_evento","total_pessoas","lucro_total"
2008,NULL,1301,5,1,8,"2021-03-19","Aniversário de adulto","04:00:00","Tornou-se cliente",42,33,"700.00","470.00",72,75,"230.00"
2009,NULL,240,6,NULL,NULL,"2021-03-20","Formatura","04:00:00","Desistência",50,20,NULL,NULL,71,70,NULL
2010,NULL,1401,7,4,NULL,"2021-03-21","Casamento","04:00:00","Em negociação",60,42,"1110.00","710.00",70,102,"400.00"
2011,NULL,1501,1,1,5,"2021-03-22","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",69,60,"180.00"
2012,NULL,312,2,NULL,NULL,"2021-03-23","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,68,60,NULL
2013,NULL,1601,3,2,NULL,"2021-03-24","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",67,75,"230.00"
2014,NULL,1701,4,1,7,"2021-03-25","Aniversário de adulto","04:00:00","Tornou-se cliente",40,30,"680.00","450.00",66,70,"230.00"
2015,NULL,250,5,NULL,NULL,"2021-03-26","Formatura","04:00:00","Desistência",50,20,NULL,NULL,65,70,NULL
2016,NULL,1801,1,4,NULL,"2021-03-27","Casamento","04:00:00","Em negociação",60,40,"1100.00","700.00",64,100,"400.00"
2017,NULL,1901,6,1,5,"2021-03-28","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",63,60,"180.00"
2018,NULL,312,2,NULL,NULL,"2021-03-29","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,62,60,NULL
2019,NULL,2001,3,2,NULL,"2021-03-30","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",61,75,"230.00"
2020,NULL,2101,4,3,6,"2021-03-31","Aniversário de adulto","04:00:00","Tornou-se cliente",42,28,"700.00","470.00",60,70,"230.00"
2021,NULL,101,1,1,2,"2021-04-01","Aniversário infantil","04:00:00","Tornou-se cliente",28,30,"410.00","280.00",90,58,"130.00"
2022,NULL,450,2,NULL,NULL,"2021-04-02","Formatura","04:00:00","Desistência",40,25,NULL,NULL,89,65,NULL
2023,NULL,201,3,3,NULL,"2021-04-03","Casamento","04:00:00","Em negociação",55,45,"1100.00","700.00",88,100,"400.00"
2024,NULL,301,4,2,1,"2021-04-04","Chá revelação","04:00:00","Tornou-se cliente",26,32,"480.00","320.00",87,58,"160.00"
2025,NULL,430,5,NULL,NULL,"2021-04-05","Aniversário de 15 anos","04:00:00","Desistência",42,28,NULL,NULL,86,70,NULL
2026,NULL,401,6,4,NULL,"2021-04-06","Aniversário de adulto","04:00:00","Em negociação",48,35,"700.00","450.00",85,83,"250.00"
2027,NULL,501,7,3,5,"2021-04-07","Casamento","04:00:00","Tornou-se cliente",60,50,"1200.00","780.00",84,110,"420.00"
2028,NULL,330,1,NULL,NULL,"2021-04-08","Chá revelação","04:00:00","Desistência",30,32,NULL,NULL,83,62,NULL
2029,NULL,601,2,2,NULL,"2021-04-09","Aniversário infantil","04:00:00","Em negociação",35,36,"550.00","350.00",82,71,"200.00"
2030,NULL,701,3,1,4,"2021-04-10","Aniversário de 15 anos","04:00:00","Tornou-se cliente",50,45,"950.00","600.00",81,95,"350.00"
2031,NULL,320,4,NULL,NULL,"2021-04-11","Formatura","04:00:00","Desistência",46,26,NULL,NULL,80,72,NULL
2032,NULL,801,5,2,NULL,"2021-04-12","Chá revelação","04:00:00","Em negociação",28,36,"520.00","350.00",79,64,"170.00"
2033,NULL,901,6,1,6,"2021-04-13","Aniversário de adulto","04:00:00","Tornou-se cliente",44,33,"680.00","470.00",78,77,"210.00"
2034,NULL,315,7,NULL,NULL,"2021-04-14","Aniversário infantil","04:00:00","Desistência",31,30,NULL,NULL,77,61,NULL
2035,NULL,1001,1,3,NULL,"2021-04-15","Casamento","04:00:00","Em negociação",60,48,"1150.00","750.00",76,108,"400.00"
2036,NULL,1101,2,2,2,"2021-04-16","Formatura","04:00:00","Tornou-se cliente",50,22,"710.00","490.00",75,72,"220.00"
2037,NULL,440,3,NULL,NULL,"2021-04-17","Aniversário de 15 anos","04:00:00","Desistência",46,32,NULL,NULL,74,78,NULL
2038,NULL,1201,4,3,NULL,"2021-04-18","Aniversário infantil","04:00:00","Em negociação",36,40,"570.00","360.00",73,76,"210.00"
2039,NULL,1301,5,1,8,"2021-04-19","Aniversário de adulto","04:00:00","Tornou-se cliente",42,33,"700.00","470.00",72,75,"230.00"
2040,NULL,240,6,NULL,NULL,"2021-04-20","Formatura","04:00:00","Desistência",50,20,NULL,NULL,71,70,NULL
2041,NULL,1401,7,4,NULL,"2021-04-21","Casamento","04:00:00","Em negociação",60,42,"1110.00","710.00",70,102,"400.00"
2042,NULL,1501,1,1,5,"2021-04-22","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",69,60,"180.00"
2043,NULL,312,2,NULL,NULL,"2021-04-23","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,68,60,NULL
2044,NULL,1601,3,2,NULL,"2021-04-24","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",67,75,"230.00"
2045,NULL,1701,4,1,7,"2021-04-25","Aniversário de adulto","04:00:00","Tornou-se cliente",40,30,"680.00","450.00",66,70,"230.00"
2046,NULL,250,5,NULL,NULL,"2021-04-26","Formatura","04:00:00","Desistência",50,20,NULL,NULL,65,70,NULL
2047,NULL,1801,1,4,NULL,"2021-04-27","Casamento","04:00:00","Em negociação",60,40,"1100.00","700.00",64,100,"400.00"
2048,NULL,1901,6,1,5,"2021-04-28","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",63,60,"180.00"
2049,NULL,312,2,NULL,NULL,"2021-04-29","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,62,60,NULL
2050,NULL,2001,3,2,NULL,"2021-04-30","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",61,75,"230.00"
2051,NULL,101,1,1,2,"2021-05-01","Aniversário infantil","04:00:00","Tornou-se cliente",28,30,"410.00","280.00",89,58,"130.00"
2052,NULL,450,2,NULL,NULL,"2021-05-02","Formatura","04:00:00","Desistência",40,25,NULL,NULL,88,65,NULL
2053,NULL,201,3,3,NULL,"2021-05-03","Casamento","04:00:00","Em negociação",55,45,"1100.00","700.00",87,100,"400.00"
2054,NULL,301,4,2,1,"2021-05-04","Chá revelação","04:00:00","Tornou-se cliente",26,32,"480.00","320.00",86,58,"160.00"
2055,NULL,430,5,NULL,NULL,"2021-05-05","Aniversário de 15 anos","04:00:00","Desistência",42,28,NULL,NULL,85,70,NULL
2056,NULL,401,6,4,NULL,"2021-05-06","Aniversário de adulto","04:00:00","Em negociação",48,35,"700.00","450.00",84,83,"250.00"
2057,NULL,501,7,3,5,"2021-05-07","Casamento","04:00:00","Tornou-se cliente",60,50,"1200.00","780.00",83,110,"420.00"
2058,NULL,330,1,NULL,NULL,"2021-05-08","Chá revelação","04:00:00","Desistência",30,32,NULL,NULL,82,62,NULL
2059,NULL,601,2,2,NULL,"2021-05-09","Aniversário infantil","04:00:00","Em negociação",35,36,"550.00","350.00",81,71,"200.00"
2060,NULL,701,3,1,4,"2021-05-10","Aniversário de 15 anos","04:00:00","Tornou-se cliente",50,45,"950.00","600.00",80,95,"350.00"
2061,NULL,320,4,NULL,NULL,"2021-05-11","Formatura","04:00:00","Desistência",46,26,NULL,NULL,79,72,NULL
2062,NULL,801,5,2,NULL,"2021-05-12","Chá revelação","04:00:00","Em negociação",28,36,"520.00","350.00",78,64,"170.00"
2063,NULL,901,6,1,6,"2021-05-13","Aniversário de adulto","04:00:00","Tornou-se cliente",44,33,"680.00","470.00",77,77,"210.00"
2064,NULL,315,7,NULL,NULL,"2021-05-14","Aniversário infantil","04:00:00","Desistência",31,30,NULL,NULL,76,61,NULL
2065,NULL,1001,1,3,NULL,"2021-05-15","Casamento","04:00:00","Em negociação",60,48,"1150.00","750.00",75,108,"400.00"
2066,NULL,1101,2,2,2,"2021-05-16","Formatura","04:00:00","Tornou-se cliente",50,22,"710.00","490.00",74,72,"220.00"
2067,NULL,440,3,NULL,NULL,"2021-05-17","Aniversário de 15 anos","04:00:00","Desistência",46,32,NULL,NULL,73,78,NULL
2068,NULL,1201,4,3,NULL,"2021-05-18","Aniversário infantil","04:00:00","Em negociação",36,40,"570.00","360.00",72,76,"210.00"
2069,NULL,1301,5,1,8,"2021-05-19","Aniversário de adulto","04:00:00","Tornou-se cliente",42,33,"700.00","470.00",71,75,"230.00"
2070,NULL,240,6,NULL,NULL,"2021-05-20","Formatura","04:00:00","Desistência",50,20,NULL,NULL,70,70,NULL
2071,NULL,1401,7,4,NULL,"2021-05-21","Casamento","04:00:00","Em negociação",60,42,"1110.00","710.00",69,102,"400.00"
2072,NULL,1501,1,1,5,"2021-05-22","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",68,60,"180.00"
2073,NULL,312,2,NULL,NULL,"2021-05-23","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,67,60,NULL
2074,NULL,1601,3,2,NULL,"2021-05-24","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",66,75,"230.00"
2075,NULL,1701,4,1,7,"2021-05-25","Aniversário de adulto","04:00:00","Tornou-se cliente",40,30,"680.00","450.00",65,70,"230.00"
2076,NULL,250,5,NULL,NULL,"2021-05-26","Formatura","04:00:00","Desistência",50,20,NULL,NULL,64,70,NULL
2077,NULL,1801,1,4,NULL,"2021-05-27","Casamento","04:00:00","Em negociação",60,40,"1100.00","700.00",63,100,"400.00"
2078,NULL,1901,6,1,5,"2021-05-28","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",62,60,"180.00"
2079,NULL,312,2,NULL,NULL,"2021-05-29","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,61,60,NULL
2080,NULL,2001,3,2,NULL,"2021-05-30","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",60,75,"230.00"
2081,NULL,101,1,1,2,"2021-06-01","Aniversário infantil","04:00:00","Tornou-se cliente",28,30,"410.00","280.00",92,58,"130.00"
2082,NULL,450,2,NULL,NULL,"2021-06-02","Formatura","04:00:00","Desistência",40,25,NULL,NULL,91,65,NULL
2083,NULL,201,3,3,NULL,"2021-06-03","Casamento","04:00:00","Em negociação",55,45,"1100.00","700.00",90,100,"400.00"
2084,NULL,301,4,2,1,"2021-06-04","Chá revelação","04:00:00","Tornou-se cliente",26,32,"480.00","320.00",89,58,"160.00"
2085,NULL,430,5,NULL,NULL,"2021-06-05","Aniversário de 15 anos","04:00:00","Desistência",42,28,NULL,NULL,88,70,NULL
2086,NULL,401,6,4,NULL,"2021-06-06","Aniversário de adulto","04:00:00","Em negociação",48,35,"700.00","450.00",87,83,"250.00"
2087,NULL,501,7,3,5,"2021-06-07","Casamento","04:00:00","Tornou-se cliente",60,50,"1200.00","780.00",86,110,"420.00"
2088,NULL,330,1,NULL,NULL,"2021-06-08","Chá revelação","04:00:00","Desistência",30,32,NULL,NULL,85,62,NULL
2089,NULL,601,2,2,NULL,"2021-06-09","Aniversário infantil","04:00:00","Em negociação",35,36,"550.00","350.00",84,71,"200.00"
2090,NULL,701,3,1,4,"2021-06-10","Aniversário de 15 anos","04:00:00","Tornou-se cliente",50,45,"950.00","600.00",83,95,"350.00"
2091,NULL,320,4,NULL,NULL,"2021-06-11","Formatura","04:00:00","Desistência",46,26,NULL,NULL,82,72,NULL
2092,NULL,801,5,2,NULL,"2021-06-12","Chá revelação","04:00:00","Em negociação",28,36,"520.00","350.00",81,64,"170.00"
2093,NULL,901,6,1,6,"2021-06-13","Aniversário de adulto","04:00:00","Tornou-se cliente",44,33,"680.00","470.00",80,77,"210.00"
2094,NULL,315,7,NULL,NULL,"2021-06-14","Aniversário infantil","04:00:00","Desistência",31,30,NULL,NULL,79,61,NULL
2095,NULL,1001,1,3,NULL,"2021-06-15","Casamento","04:00:00","Em negociação",60,48,"1150.00","750.00",78,108,"400.00"
2096,NULL,1101,2,2,2,"2021-06-16","Formatura","04:00:00","Tornou-se cliente",50,22,"710.00","490.00",77,72,"220.00"
2097,NULL,440,3,NULL,NULL,"2021-06-17","Aniversário de 15 anos","04:00:00","Desistência",46,32,NULL,NULL,76,78,NULL
2098,NULL,1201,4,3,NULL,"2021-06-18","Aniversário infantil","04:00:00","Em negociação",36,40,"570.00","360.00",75,76,"210.00"
2099,NULL,1301,5,1,8,"2021-06-19","Aniversário de adulto","04:00:00","Tornou-se cliente",42,33,"700.00","470.00",74,75,"230.00"
2100,NULL,240,6,NULL,NULL,"2021-06-20","Formatura","04:00:00","Desistência",50,20,NULL,NULL,73,70,NULL
2101,NULL,1401,7,4,NULL,"2021-06-21","Casamento","04:00:00","Em negociação",60,42,"1110.00","710.00",72,102,"400.00"
2102,NULL,1501,1,1,5,"2021-06-22","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",71,60,"180.00"
2103,NULL,312,2,NULL,NULL,"2021-06-23","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,70,60,NULL
2104,NULL,1601,3,2,NULL,"2021-06-24","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",69,75,"230.00"
2105,NULL,1701,4,1,7,"2021-06-25","Aniversário de adulto","04:00:00","Tornou-se cliente",40,30,"680.00","450.00",68,70,"230.00"
2106,NULL,250,5,NULL,NULL,"2021-06-26","Formatura","04:00:00","Desistência",50,20,NULL,NULL,67,70,NULL
2107,NULL,1801,1,4,NULL,"2021-06-27","Casamento","04:00:00","Em negociação",60,40,"1100.00","700.00",66,100,"400.00"
2108,NULL,1901,6,1,5,"2021-06-28","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",65,60,"180.00"
2109,NULL,312,2,NULL,NULL,"2021-06-29","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,64,60,NULL
2110,NULL,2001,3,2,NULL,"2021-06-30","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",63,75,"230.00"
2111,NULL,101,1,1,2,"2021-07-01","Aniversário infantil","04:00:00","Tornou-se cliente",28,30,"410.00","280.00",91,58,"130.00"
2112,NULL,450,2,NULL,NULL,"2021-07-02","Formatura","04:00:00","Desistência",40,25,NULL,NULL,90,65,NULL
2113,NULL,201,3,3,NULL,"2021-07-03","Casamento","04:00:00","Em negociação",55,45,"1100.00","700.00",89,100,"400.00"
2114,NULL,301,4,2,1,"2021-07-04","Chá revelação","04:00:00","Tornou-se cliente",26,32,"480.00","320.00",88,58,"160.00"
2115,NULL,430,5,NULL,NULL,"2021-07-05","Aniversário de 15 anos","04:00:00","Desistência",42,28,NULL,NULL,87,70,NULL
2116,NULL,401,6,4,NULL,"2021-07-06","Aniversário de adulto","04:00:00","Em negociação",48,35,"700.00","450.00",86,83,"250.00"
2117,NULL,501,7,3,5,"2021-07-07","Casamento","04:00:00","Tornou-se cliente",60,50,"1200.00","780.00",85,110,"420.00"
2118,NULL,330,1,NULL,NULL,"2021-07-08","Chá revelação","04:00:00","Desistência",30,32,NULL,NULL,84,62,NULL
2119,NULL,601,2,2,NULL,"2021-07-09","Aniversário infantil","04:00:00","Em negociação",35,36,"550.00","350.00",83,71,"200.00"
2120,NULL,701,3,1,4,"2021-07-10","Aniversário de 15 anos","04:00:00","Tornou-se cliente",50,45,"950.00","600.00",82,95,"350.00"
2121,NULL,320,4,NULL,NULL,"2021-07-11","Formatura","04:00:00","Desistência",46,26,NULL,NULL,81,72,NULL
2122,NULL,801,5,2,NULL,"2021-07-12","Chá revelação","04:00:00","Em negociação",28,36,"520.00","350.00",80,64,"170.00"
2123,NULL,901,6,1,6,"2021-07-13","Aniversário de adulto","04:00:00","Tornou-se cliente",44,33,"680.00","470.00",79,77,"210.00"
2124,NULL,315,7,NULL,NULL,"2021-07-14","Aniversário infantil","04:00:00","Desistência",31,30,NULL,NULL,78,61,NULL
2125,NULL,1001,1,3,NULL,"2021-07-15","Casamento","04:00:00","Em negociação",60,48,"1150.00","750.00",77,108,"400.00"
2126,NULL,1101,2,2,2,"2021-07-16","Formatura","04:00:00","Tornou-se cliente",50,22,"710.00","490.00",76,72,"220.00"
2127,NULL,440,3,NULL,NULL,"2021-07-17","Aniversário de 15 anos","04:00:00","Desistência",46,32,NULL,NULL,75,78,NULL
2128,NULL,1201,4,3,NULL,"2021-07-18","Aniversário infantil","04:00:00","Em negociação",36,40,"570.00","360.00",74,76,"210.00"
2129,NULL,1301,5,1,8,"2021-07-19","Aniversário de adulto","04:00:00","Tornou-se cliente",42,33,"700.00","470.00",73,75,"230.00"
2130,NULL,240,6,NULL,NULL,"2021-07-20","Formatura","04:00:00","Desistência",50,20,NULL,NULL,72,70,NULL
2131,NULL,1401,7,4,NULL,"2021-07-21","Casamento","04:00:00","Em negociação",60,42,"1110.00","710.00",71,102,"400.00"
2132,NULL,1501,1,1,5,"2021-07-22","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",70,60,"180.00"
2133,NULL,312,2,NULL,NULL,"2021-07-23","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,69,60,NULL
2134,NULL,1601,3,2,NULL,"2021-07-24","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",68,75,"230.00"
2135,NULL,1701,4,1,7,"2021-07-25","Aniversário de adulto","04:00:00","Tornou-se cliente",40,30,"680.00","450.00",67,70,"230.00"
2136,NULL,250,5,NULL,NULL,"2021-07-26","Formatura","04:00:00","Desistência",50,20,NULL,NULL,66,70,NULL
2137,NULL,1801,1,4,NULL,"2021-07-27","Casamento","04:00:00","Em negociação",60,40,"1100.00","700.00",65,100,"400.00"
2138,NULL,1901,6,1,5,"2021-07-28","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",64,60,"180.00"
2139,NULL,312,2,NULL,NULL,"2021-07-29","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,63,60,NULL
2140,NULL,2001,3,2,NULL,"2021-07-30","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",62,75,"230.00"
2141,NULL,2101,4,1,8,"2021-07-31","Aniversário de adulto","04:00:00","Tornou-se cliente",42,35,"700.00","470.00",61,77,"230.00"
2142,NULL,101,1,1,2,"2021-08-01","Aniversário infantil","04:00:00","Tornou-se cliente",28,30,"410.00","280.00",92,58,"130.00"
2143,NULL,450,2,NULL,NULL,"2021-08-02","Formatura","04:00:00","Desistência",40,25,NULL,NULL,91,65,NULL
2144,NULL,201,3,3,NULL,"2021-08-03","Casamento","04:00:00","Em negociação",55,45,"1100.00","700.00",90,100,"400.00"
2145,NULL,301,4,2,1,"2021-08-04","Chá revelação","04:00:00","Tornou-se cliente",26,32,"480.00","320.00",89,58,"160.00"
2146,NULL,430,5,NULL,NULL,"2021-08-05","Aniversário de 15 anos","04:00:00","Desistência",42,28,NULL,NULL,88,70,NULL
2147,NULL,401,6,4,NULL,"2021-08-06","Aniversário de adulto","04:00:00","Em negociação",48,35,"700.00","450.00",87,83,"250.00"
2148,NULL,501,7,3,5,"2021-08-07","Casamento","04:00:00","Tornou-se cliente",60,50,"1200.00","780.00",86,110,"420.00"
2149,NULL,330,1,NULL,NULL,"2021-08-08","Chá revelação","04:00:00","Desistência",30,32,NULL,NULL,85,62,NULL
2150,NULL,601,2,2,NULL,"2021-08-09","Aniversário infantil","04:00:00","Em negociação",35,36,"550.00","350.00",84,71,"200.00"
2151,NULL,701,3,1,4,"2021-08-10","Aniversário de 15 anos","04:00:00","Tornou-se cliente",50,45,"950.00","600.00",83,95,"350.00"
2152,NULL,320,4,NULL,NULL,"2021-08-11","Formatura","04:00:00","Desistência",46,26,NULL,NULL,82,72,NULL
2153,NULL,801,5,2,NULL,"2021-08-12","Chá revelação","04:00:00","Em negociação",28,36,"520.00","350.00",81,64,"170.00"
2154,NULL,901,6,1,6,"2021-08-13","Aniversário de adulto","04:00:00","Tornou-se cliente",44,33,"680.00","470.00",80,77,"210.00"
2155,NULL,315,7,NULL,NULL,"2021-08-14","Aniversário infantil","04:00:00","Desistência",31,30,NULL,NULL,79,61,NULL
2156,NULL,1001,1,3,NULL,"2021-08-15","Casamento","04:00:00","Em negociação",60,48,"1150.00","750.00",78,108,"400.00"
2157,NULL,1101,2,2,2,"2021-08-16","Formatura","04:00:00","Tornou-se cliente",50,22,"710.00","490.00",77,72,"220.00"
2158,NULL,440,3,NULL,NULL,"2021-08-17","Aniversário de 15 anos","04:00:00","Desistência",46,32,NULL,NULL,76,78,NULL
2159,NULL,1201,4,3,NULL,"2021-08-18","Aniversário infantil","04:00:00","Em negociação",36,40,"570.00","360.00",75,76,"210.00"
2160,NULL,1301,5,1,8,"2021-08-19","Aniversário de adulto","04:00:00","Tornou-se cliente",42,33,"700.00","470.00",74,75,"230.00"
2161,NULL,240,6,NULL,NULL,"2021-08-20","Formatura","04:00:00","Desistência",50,20,NULL,NULL,73,70,NULL
2162,NULL,1401,7,4,NULL,"2021-08-21","Casamento","04:00:00","Em negociação",60,42,"1110.00","710.00",72,102,"400.00"
2163,NULL,1501,1,1,5,"2021-08-22","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",71,60,"180.00"
2164,NULL,312,2,NULL,NULL,"2021-08-23","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,70,60,NULL
2165,NULL,1601,3,2,NULL,"2021-08-24","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",69,75,"230.00"
2166,NULL,1701,4,1,7,"2021-08-25","Aniversário de adulto","04:00:00","Tornou-se cliente",40,30,"680.00","450.00",68,70,"230.00"
2167,NULL,250,5,NULL,NULL,"2021-08-26","Formatura","04:00:00","Desistência",50,20,NULL,NULL,67,70,NULL
2168,NULL,1801,1,4,NULL,"2021-08-27","Casamento","04:00:00","Em negociação",60,40,"1100.00","700.00",66,100,"400.00"
2169,NULL,1901,6,1,5,"2021-08-28","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",65,60,"180.00"
2170,NULL,312,2,NULL,NULL,"2021-08-29","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,64,60,NULL
2171,NULL,2001,3,2,NULL,"2021-08-30","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",63,75,"230.00"
2172,NULL,2101,4,1,8,"2021-08-31","Aniversário de adulto","04:00:00","Tornou-se cliente",42,35,"700.00","470.00",62,77,"230.00"
2173,NULL,101,1,1,2,"2021-09-01","Aniversário infantil","04:00:00","Tornou-se cliente",28,30,"410.00","280.00",92,58,"130.00"
2174,NULL,450,2,NULL,NULL,"2021-09-02","Formatura","04:00:00","Desistência",40,25,NULL,NULL,91,65,NULL
2175,NULL,201,3,3,NULL,"2021-09-03","Casamento","04:00:00","Em negociação",55,45,"1100.00","700.00",90,100,"400.00"
2176,NULL,301,4,2,1,"2021-09-04","Chá revelação","04:00:00","Tornou-se cliente",26,32,"480.00","320.00",89,58,"160.00"
2177,NULL,430,5,NULL,NULL,"2021-09-05","Aniversário de 15 anos","04:00:00","Desistência",42,28,NULL,NULL,88,70,NULL
2178,NULL,401,6,4,NULL,"2021-09-06","Aniversário de adulto","04:00:00","Em negociação",48,35,"700.00","450.00",87,83,"250.00"
2179,NULL,501,7,3,5,"2021-09-07","Casamento","04:00:00","Tornou-se cliente",60,50,"1200.00","780.00",86,110,"420.00"
2180,NULL,330,1,NULL,NULL,"2021-09-08","Chá revelação","04:00:00","Desistência",30,32,NULL,NULL,85,62,NULL
2181,NULL,601,2,2,NULL,"2021-09-09","Aniversário infantil","04:00:00","Em negociação",35,36,"550.00","350.00",84,71,"200.00"
2182,NULL,701,3,1,4,"2021-09-10","Aniversário de 15 anos","04:00:00","Tornou-se cliente",50,45,"950.00","600.00",83,95,"350.00"
2183,NULL,320,4,NULL,NULL,"2021-09-11","Formatura","04:00:00","Desistência",46,26,NULL,NULL,82,72,NULL
2184,NULL,801,5,2,NULL,"2021-09-12","Chá revelação","04:00:00","Em negociação",28,36,"520.00","350.00",81,64,"170.00"
2185,NULL,901,6,1,6,"2021-09-13","Aniversário de adulto","04:00:00","Tornou-se cliente",44,33,"680.00","470.00",80,77,"210.00"
2186,NULL,315,7,NULL,NULL,"2021-09-14","Aniversário infantil","04:00:00","Desistência",31,30,NULL,NULL,79,61,NULL
2187,NULL,1001,1,3,NULL,"2021-09-15","Casamento","04:00:00","Em negociação",60,48,"1150.00","750.00",78,108,"400.00"
2188,NULL,1101,2,2,2,"2021-09-16","Formatura","04:00:00","Tornou-se cliente",50,22,"710.00","490.00",77,72,"220.00"
2189,NULL,440,3,NULL,NULL,"2021-09-17","Aniversário de 15 anos","04:00:00","Desistência",46,32,NULL,NULL,76,78,NULL
2190,NULL,1201,4,3,NULL,"2021-09-18","Aniversário infantil","04:00:00","Em negociação",36,40,"570.00","360.00",75,76,"210.00"
2191,NULL,1301,5,1,8,"2021-09-19","Aniversário de adulto","04:00:00","Tornou-se cliente",42,33,"700.00","470.00",74,75,"230.00"
2192,NULL,240,6,NULL,NULL,"2021-09-20","Formatura","04:00:00","Desistência",50,20,NULL,NULL,73,70,NULL
2193,NULL,1401,7,4,NULL,"2021-09-21","Casamento","04:00:00","Em negociação",60,42,"1110.00","710.00",72,102,"400.00"
2194,NULL,1501,1,1,5,"2021-09-22","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",71,60,"180.00"
2195,NULL,312,2,NULL,NULL,"2021-09-23","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,70,60,NULL
2196,NULL,1601,3,2,NULL,"2021-09-24","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",69,75,"230.00"
2197,NULL,1701,4,1,7,"2021-09-25","Aniversário de adulto","04:00:00","Tornou-se cliente",40,30,"680.00","450.00",68,70,"230.00"
2198,NULL,250,5,NULL,NULL,"2021-09-26","Formatura","04:00:00","Desistência",50,20,NULL,NULL,67,70,NULL
2199,NULL,1801,1,4,NULL,"2021-09-27","Casamento","04:00:00","Em negociação",60,40,"1100.00","700.00",66,100,"400.00"
2200,NULL,1901,6,1,5,"2021-09-28","Chá revelação","04:00:00","Tornou-se cliente",25,35,"480.00","300.00",65,60,"180.00"
2201,NULL,312,2,NULL,NULL,"2021-09-29","Aniversário infantil","04:00:00","Desistência",32,28,NULL,NULL,64,60,NULL
2202,NULL,2001,3,2,NULL,"2021-09-30","Aniversário de 15 anos","04:00:00","Em negociação",45,30,"680.00","450.00",63,75,"230.00"
2203,NULL,101,1,1,2,"2021-10-01","Aniversário infantil","04:00:00","Tornou-se cliente",28,30,"410.00","280.00",92,58,"130.00"
2204,NULL,450,2,NULL,NULL,"2021-10-02","Formatura","04:00:00","Desistência",40,25,NULL,NULL,91,65,NULL
2205,NULL,201,3,3,NULL,"2021-10-03","Casamento","04:00:00","Em negociação",55,45,"1100.00","700.00",90,100,"400.00"
2206,NULL,301,4,2,1,"2021-10-04","Chá revelação","04:00:00","Tornou-se cliente",26,32,"480.00","320.00",89,58,"160.00"
2207,NULL,430,5,NULL,NULL,"2021-10-05","Aniversário de 15 anos","04:00:00","Desistência",42,28,NULL,NULL,88,70,NULL
2208,NULL,401,6,4,NULL,"2021-10-06","Aniversário de adulto","04:00:00","Em negociação",48,35,"700.00","450.00",87,83,"250.00"
2209,NULL,501,7,3,5,"2021-10-07","Casamento","04:00:00","Tornou-se cliente",60,50,"1200.00","780.00",86,110,"420.00"
